,Delta_x,Delta_y,Typ_obj,Date,Year,mjd,radius,theta_x,ratio_x,source,epoch,flux,size,ratio_y,cpa,stokes,observer,method,freq,p,EVPA,label,masyr,dmasyr,meandist,meansize,meanpa,t_o,dt_o,mean_flux,qflux,uflux,use_in_fit,counterjet,residual_rms,num_fitted_epochs,dmeandist,dmeanpa,motionphi,dmotionphi,nonradial,accel_par,daccel_par,accel_perp,daccel_perp,accel_x,daccel_x,masyr_x,dmasyr_x,masyr_y,dmasyr_y,t_o_x,dt_o_x,t_o_y,dt_o_y,radial_masyr,dradial_masyr,t_o_radial,dt_o_radial,dx,dy,begin_date,middle_date,end_date,parallel,perpendicular,accel_y,daccel_y,mu_offset,dmu_offset,masyr_a,dmasyr_a,motionphi_a,dmotionphi_a,masyr_x_a,dmasyr_x_a,masyr_y_a,dmasyr_y_a,dx_a,dy_a,mu_offset_a,dmu_offset_a,dmean_flux,rating,inward,stationary,mindist,maxdist,median_m,median_flux,median_size,median_tb,m,max_m,x_o,y_o,inward_a,nonradial_a,tej_blanked,p_atpeak,m_atpeak,i_atpeak,iflux,p_rmstot,qu_rms,EVPA_atpeak,sigma_EVPA,EVPAcoverage,EVPAnepochs,x_m,dx_m,y_m,dy_m,dmeandist_a,dmeanpa_a,x_m_a,dx_m_a,y_m_a,dy_m_a,accel_flag,accel_mag,daccel_mag,accel_ang,daccel_ang,dr_radial,delta,d_delta,theta_y,d_theta,gamma,d_gamma,tvar,d_tvar,FWHM,d_FWHM,dpa,component_number,maj,min,pos,x,y,redshift,is_core
10,1.9296305708849104e-07,-1.004497789836023e-06,1.0,2010-11-13,2010.8651608487337,55513.0,3.6823100281447827,169.12600215758957,1.0,0506+056,2010-11-13,0.004064999986439943,0.921346,1.0,0.0,I,MLL,UV,15.4,,,,0.057692,0.012443,3.7122,1.843163,173.74,2025.36,56.676,0.02169,,,1,-1,,24.0,0.057679,0.54,-138.89,12.26,Y,0.0051006,0.0083703,0.0034903,0.008125,-0.0059575,0.005731,-0.037936,0.0088054,-0.043465,0.014717,2027.0,57.169,1931.431,432.68,0.039187,0.014757,1921.408,330.86,0.16935,0.28452,2009.0164,2015.0903,2021.1643,N,N,-0.0016453,0.0098544,47.38,12.27,0.056306,0.01269,-139.82,12.98,-0.036327,0.008711,-0.04302,0.015126,0.16904,0.29103,46.44,12.98,0.008,1,N,,3.206,4.132,,0.0222772,1.86112,7.53,,0.120112,0.062206,-4.0826,N,Y,Y,,,0.00291856,0.00286905,,0.000176,,,,,0.4518,0.036519,-3.6362,0.06067,0.059353,0.55,0.5012,0.060512,-3.6226,0.10193,N,0.0061805,0.0077332,-105.44,67.25,0.28355,,,,,,,,,,,2.3575,1,2.559294500770193e-07,2.559294500770193e-07,0.0,1.9296305708849104e-07,-1.004497789836023e-06,0,False
11,4.049656165960869e-09,-1.4801206926762234e-09,0.0,2010-11-13,2010.8651608487337,55513.0,0.015522001203550276,110.07700063447376,0.0,0506+056,2010-11-13,0.20216499269008636,0.0,1.0,0.0,I,MLL,UV,15.4,0.00656543,208.7,,,,,0.095541,,,,0.37876,0.00353095,0.00553509,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242,1,,,,,0.0222936,0.276133,0.0919392,11.34,0.029332,0.0537596,,,,,,0.00709059,0.0294966,0.240387,0.223831,0.000177124,0.000176,208.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,4.049656165960869e-09,-1.4801206926762234e-09,0,True
12,-2.9422865921446828e-08,-1.358451555688589e-07,1.0,2010-11-13,2010.8651608487337,55513.0,0.5003820169071262,-167.7790071609193,1.0,0506+056,2010-11-13,0.07217299938201904,0.248023,1.0,0.0,I,MLL,UV,15.4,0.00321064,208.3,,0.051102,0.0064765,0.52989,0.270604,-166.98,2000.784,1.4113,0.08228,0.00176783,0.00268011,1,-1,,7.0,0.0087681,1.14,-178.34,9.16,N,,,,,,,-0.0014773,0.0081425,-0.05108,0.0064728,1930.058,1030.4,2000.785,1.4113,0.050162,0.0076554,2000.317,1.8244,0.028383,0.022872,2009.0164,2011.0876,2013.1588,,,,,11.37,9.23,,,,,,,,,,,,,0.035,1,N,,0.435,0.636,0.0170099,0.0721732,0.265774,9.78,0.0197869,0.0219236,-0.10448,6.7764e-06,,,Y,0.00329202,0.0193941,0.169744,0.162261,0.000176644,0.000176,207.8,37.1,4.14237,7.0,-0.1197,0.010707,-0.52628,0.0087623,,,,,,,,,,,,0.026656,2.74621,0.694657,15.5122,5.93472,1.76181,0.664268,3.28418,0.662873,0.270604,0.0412577,3.1944,4,6.88952823679756e-08,6.88952823679756e-08,0.0,-2.9422865921446828e-08,-1.358451555688589e-07,0,False
13,-5.6092471112378917e-08,-5.26087546859344e-07,1.0,2010-11-13,2010.8651608487337,55513.0,1.9046499837756656,-173.91400608087682,1.0,0506+056,2010-11-13,0.06512799859046936,0.980657,1.0,0.0,I,MLL,UV,15.4,0.000975891,214.0,,0.057158,0.027308,1.9685,0.951469,-172.23,1978.589,4820.0,0.0493,0.000366779,0.000904344,1,-1,,8.0,0.040494,0.39,170.44,16.87,N,,,,,,,0.0094931,0.0076352,-0.056364,0.025109,2039.318,27639.0,1976.684,4895.0,0.054625,0.025001,1975.242,2084.0,0.03478,0.11644,2009.0164,2011.5411,2014.0657,,,,,17.33,16.87,,,,,,,,,,,,,0.01,1,N,,1.797,2.175,0.0571379,0.0518226,0.942009,8.51,0.039808,0.0792586,-0.57651,-0.10737,,,Y,0.000978141,0.0400554,0.0244197,0.024515,0.000176123,0.000176,213.8,7.9,5.0486,8.0,-0.26369,0.012515,-1.9647,0.041177,,,,,,,,,,,,0.11503,,,,,,,,,,,1.1212,2,2.7240471922596043e-07,2.7240471922596043e-07,0.0,-5.6092471112378917e-08,-5.26087546859344e-07,0,False
14,-2.0189619931443303e-07,-2.8520102546281123e-07,1.0,2010-11-13,2010.8651608487337,55513.0,1.2579499333779445,-144.70500261104266,1.0,0506+056,2010-11-13,0.020634999498724937,0.414499,1.0,0.0,I,MLL,UV,15.4,0.00179336,239.0,,0.015579,0.010498,1.2398,,-143.26,2114.662,2636.0,,-0.000843844,0.00158242,1,-1,,15.0,0.032307,1.46,21.33,44.79,N,-0.014869,0.011091,-0.012691,0.011962,-0.01786,0.0066333,0.0056669,0.009439,0.014511,0.010614,2144.842,3668.3,2082.437,3790.5,-0.014563,0.010019,2099.474,23608.0,0.11558,0.13094,2009.0164,2013.7135,2018.4106,N,N,-0.0079478,0.0091481,164.59,44.83,0.016872,0.010507,25.53,37.99,0.0072711,0.0077084,0.015225,0.010771,0.094933,0.13227,168.79,38.02,,-1,N,,1.036,1.47,,,,,0.0735882,,-0.17103,0.46763,N,N,,0.00186551,0.0751382,0.0248277,0.0243702,0.000176123,0.000176,238.8,5.8,3.08008,6.0,-0.74309,0.030275,-0.99726,0.033721,0.03089,1.3,-0.65276,0.041497,-0.95706,0.057417,N,0.019548,0.0071606,-113.99,26.27,0.12404,,,,,,,,,,,,3,1.1513861153389371e-07,1.1513861153389371e-07,0.0,-2.0189619931443303e-07,-2.8520102546281123e-07,0,False
15,1.1963834367634263e-07,-1.091529611585429e-06,1.0,2011-02-27,2011.1553730321698,55619.0,3.953039707888236,173.74499938336635,1.0,0506+056,2011-02-27,0.017676999792456627,1.74321,1.0,0.0,I,MLL,UV,15.4,-0.0007,,,0.057692,0.012443,3.7122,1.843163,173.74,2025.36,56.676,0.02169,0.000118482,-8.26872e-05,1,-1,,24.0,0.057679,0.54,-138.89,12.26,Y,0.0051006,0.0083703,0.0034903,0.008125,-0.0059575,0.005731,-0.037936,0.0088054,-0.043465,0.014717,2027.0,57.169,1931.431,432.68,0.039187,0.014757,1921.408,330.86,0.16935,0.28452,2009.0164,2015.0903,2021.1643,N,N,-0.0016453,0.0098544,47.38,12.27,0.056306,0.01269,-139.82,12.98,-0.036327,0.008711,-0.04302,0.015126,0.16904,0.29103,46.44,12.98,0.008,1,N,,3.206,4.132,,0.0222772,1.86112,7.53,-0.236993,0.120112,0.062206,-4.0826,N,Y,Y,-0.0007,-0.0007,0.00298901,0.00295367,0.00025206,0.000252,,,,,0.4518,0.036519,-3.6362,0.06067,0.059353,0.55,0.5012,0.060512,-3.6226,0.10193,N,0.0061805,0.0077332,-105.44,67.25,0.28355,,,,,,,,,,,2.1338,1,4.842249836656265e-07,4.842249836656265e-07,0.0,1.1963834367634263e-07,-1.091529611585429e-06,0,False
16,3.0547340212905283e-09,7.805185830989103e-09,0.0,2011-02-27,2011.1553730321698,55619.0,0.030173997785021014,21.374001698985946,0.0,0506+056,2011-02-27,0.20772899687290192,0.0,1.0,0.0,I,MLL,UV,15.4,0.00344781,216.1,,,,,0.095541,,,,0.37876,0.00105436,0.00328264,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242,1,,,,,0.0222936,0.276133,0.0919392,11.34,0.0160249,0.0537596,,,,,,0.00366895,0.0159358,0.230233,0.215154,0.000252633,0.000252,215.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,3.0547340212905283e-09,7.805185830989103e-09,0,True
17,-4.396190078637119e-08,-1.4829890915279975e-07,1.0,2011-02-27,2011.1553730321698,55619.0,0.5568400027741611,-163.4880086618719,1.0,0506+056,2011-02-27,0.06305799633264542,0.317233,1.0,0.0,I,MLL,UV,15.4,0.00153291,214.2,,0.051102,0.0064765,0.52989,0.270604,-166.98,2000.784,1.4113,0.08228,0.000564963,0.00142501,1,-1,,7.0,0.0087681,1.14,-178.34,9.16,N,,,,,,,-0.0014773,0.0081425,-0.05108,0.0064728,1930.058,1030.4,2000.785,1.4113,0.050162,0.0076554,2000.317,1.8244,0.028383,0.022872,2009.0164,2011.0876,2013.1588,,,,,11.37,9.23,,,,,,,,,,,,,0.035,1,N,,0.435,0.636,0.0170099,0.0721732,0.265774,9.78,0.0131622,0.0219236,-0.10448,6.7764e-06,,,Y,0.00151433,0.012946,0.116973,0.116464,0.000252228,0.000252,213.9,37.1,4.14237,7.0,-0.1197,0.010707,-0.52628,0.0087623,,,,,,,,,,,,0.026656,2.74621,0.694657,15.5122,5.93472,1.76181,0.664268,3.28418,0.662873,0.270604,0.0412577,2.7288,4,8.81202737446074e-08,8.81202737446074e-08,0.0,-4.396190078637119e-08,-1.4829890915279975e-07,0,False
18,-8.297831755044172e-08,-5.000931651011342e-07,1.0,2011-02-27,2011.1553730321698,55619.0,1.8249499531598843,-170.57898858811868,1.0,0506+056,2011-02-27,0.05755399912595749,0.888762,1.0,0.0,I,MLL,UV,15.4,0.00124613,223.6,,0.057158,0.027308,1.9685,0.951469,-172.23,1978.589,4820.0,0.0493,6.25492e-05,0.00124456,1,-1,,8.0,0.040494,0.39,170.44,16.87,N,,,,,,,0.0094931,0.0076352,-0.056364,0.025109,2039.318,27639.0,1976.684,4895.0,0.054625,0.025001,1975.242,2084.0,0.03478,0.11644,2009.0164,2011.5411,2014.0657,,,,,17.33,16.87,,,,,,,,,,,,,0.01,1,N,,1.797,2.175,0.0571379,0.0518226,0.942009,8.51,0.0489598,0.0792586,-0.57651,-0.10737,,,Y,0.00126188,0.049239,0.0256276,0.0254521,0.000252068,0.000252,223.8,7.9,5.0486,8.0,-0.26369,0.012515,-1.9647,0.041177,,,,,,,,,,,,0.11503,,,,,,,,,,,1.2527,2,2.468783577569411e-07,2.468783577569411e-07,0.0,-8.297831755044172e-08,-5.000931651011342e-07,0,False
19,-2.310440123665103e-07,-2.6172716616201797e-07,1.0,2011-02-27,2011.1553730321698,55619.0,1.2568199907873492,-138.5630096667148,1.0,0506+056,2011-02-27,0.010154999792575836,0.16101,1.0,0.0,I,MLL,UV,15.4,0.00158438,232.3,,0.015579,0.010498,1.2398,,-143.26,2114.662,2636.0,,-0.000401669,0.00153262,1,-1,,15.0,0.032307,1.46,21.33,44.79,N,-0.014869,0.011091,-0.012691,0.011962,-0.01786,0.0066333,0.0056669,0.009439,0.014511,0.010614,2144.842,3668.3,2082.437,3790.5,-0.014563,0.010019,2099.474,23608.0,0.11558,0.13094,2009.0164,2013.7135,2018.4106,N,N,-0.0079478,0.0091481,164.59,44.83,0.016872,0.010507,25.53,37.99,0.0072711,0.0077084,0.015225,0.010771,0.094933,0.13227,168.79,38.02,,-1,N,,1.036,1.47,,,,,0.0926802,,-0.17103,0.46763,N,N,,0.0016575,0.0968945,0.0171062,0.0170951,0.000252064,0.000252,232.5,5.8,3.08008,6.0,-0.74309,0.030275,-0.99726,0.033721,0.03089,1.3,-0.65276,0.041497,-0.95706,0.057417,N,0.019548,0.0071606,-113.99,26.27,0.12404,,,,,,,,,,,,3,4.4724998815581785e-08,4.4724998815581785e-08,0.0,-2.310440123665103e-07,-2.6172716616201797e-07,0,False
